Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No.,Supplier Price,Quantity,Details,Product Details
PAMPERS LARGE,4.90243E+12,code128,P&G,cat123,1111,1111,1111,699,699,0,,Inclusive,ba62a5b24896c2a0aa6959decffd6eb4.png,,,,,,,,,,,Mr Demo Supplier,,699,1000,,
OLD SPICE MUSK SHAVING CREAM,4.90243E+12,code128,RUBICON FORMULATIONS,cat123,1111,1111,1111,60,60,0,,Inclusive,b9a1026942678354c1409de419067aaa.png,,,,,,,,,,,Mr Demo Supplier,,60,1000,,
GILLETTE FUSION BLADE 2NOS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,500,500,0,,Inclusive,374684b6f6baf6f2098e213969cc2062.png,,,,,,,,,,,Mr Demo Supplier,,500,1000,,
GILLETTE FUSION BLADE 4 NOS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,900,900,0,,Inclusive,c8f7ca9f20a1fe9e6b979c4823f5d07d.png,,,,,,,,,,,Mr Demo Supplier,,900,1000,,
GILLETTE SHAVE GEL,4.90243E+12,code128,P&G,cat123,1111,1111,1111,85,85,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,85,1000,,
GILLETTE REGULAR SHAVING FOAM,4.90243E+12,code128,P&G,cat123,1111,1111,1111,85,85,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,85,1000,,
GILLETTE MACH 3 BLADES 4 NOS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,475,475,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,475,1000,,
GILLETTE MACH3 RAZOR,4.90243E+12,code128,P&G,cat123,1111,1111,1111,185,185,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,185,1000,,
GILLETTE AFTER SHAVE,4.90243E+12,code128,P&G,cat123,1111,1111,1111,469,469,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,469,1000,,
GILLETTE AFTER SHAVE,4.90243E+12,code128,P&G,cat123,1111,1111,1111,268,268,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,268,1000,,
HEAD AND SHOULDER ANTI-HAIRFALL SHAMPOO,4.90243E+12,code128,P&G,cat123,1111,1111,1111,285,285,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,285,1000,,
HEAD AND SHOULDER SILKY BLACK SHAMPOO,4.90243E+12,code128,P&G,cat123,1111,1111,1111,285,285,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,285,1000,,
HEAD AND SHOULDER SMOOTH & SILKY SHAMPOO,4.90243E+12,code128,P&G,cat123,1111,1111,1111,150,150,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,150,1000,,
GILLETTE FUSION RAZOR,4.90243E+12,code128,P&G,cat123,1111,1111,1111,350,350,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,350,1000,,
OLD SPICE AFTERSHAVE LOTION MUSK,4.90243E+12,code128,RUBICON FORMULATIONS,cat123,1111,1111,1111,120,120,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,120,1000,,
OLD SPICE AFTERSHAVE LOTION MUSK,4.90243E+12,code128,RUBICON FORMULATIONS,cat123,1111,1111,1111,199,199,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,199,1000,,
OLD SPICE AFTERSHAVE LOTION ORIGINAL,4.90243E+12,code128,RUBICON FORMULATIONS,cat123,1111,1111,1111,235,235,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,235,1000,,
GILLETTE VECTOR BLADES 4 NOS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,110,110,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,110,1000,,
GILLETTE VECTOR BLADES 6 NOS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,150,150,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,150,1000,,
GILLETTE VECTOR RAZOR,4.90243E+12,code128,P&G,cat123,1111,1111,1111,60,60,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,60,1000,,
GILLETTE MACH 3 BLADES 8 NOS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,840,840,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,840,1000,,
GILLETTE MACH 3 BLADES 12 NOS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,1175,1175,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,1175,1000,,
PAMPERS MEDIUM,4.90243E+12,code128,P&G,cat123,1111,1111,1111,699,699,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,699,1000,,
GILLETTE GUARD RAZOR,4.90243E+12,code128,P&G,cat123,1111,1111,1111,22,22,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,22,1000,,
PRESTO RAZOR,4.90243E+12,code128,P&G,cat123,1111,1111,1111,20,20,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,20,1000,,
VENUS BREEZE RAZOR GIRLS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,350,350,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,350,1000,,
VENUS RAZOR GIRLS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,220,220,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,220,1000,,
PAMPERS SMALL,4.90243E+12,code128,P&G,cat123,1111,1111,1111,699,699,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,699,1000,,
WHISPER ULTRA CLEAN,4.90243E+12,code128,P&G,cat123,1111,1111,1111,170,170,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,170,1000,,
TIDE EXTRA POWER,4.90243E+12,code128,P&G,cat123,1111,1111,1111,465,465,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,465,1000,,
TIDE EXTRA POWER,4.90243E+12,code128,P&G,cat123,1111,1111,1111,840,840,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,840,1000,,
ARIEL LIQUID MATIC,4.90243E+12,code128,ARIEL,cat123,1111,1111,1111,230,230,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,230,1000,,
WHISPER ULTRA NIGHTS XL +,4.90243E+12,code128,P&G,cat123,1111,1111,1111,319,319,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,319,1000,,
WHISPER ULTRA CLEAN,4.90243E+12,code128,P&G,cat123,1111,1111,1111,298,298,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,298,1000,,
PANTENE ADVANCE SOLUTION SHAMPOO,4.90243E+12,code128,P&G,cat123,1111,1111,1111,225,225,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,225,1000,,
PANTENE SILKY SMOOTH CARE,4.90243E+12,code128,P&G,cat123,1111,1111,1111,120,120,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,120,1000,,
PAMPERS X LARGE,4.90243E+12,code128,P&G,cat123,1111,1111,1111,399,399,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,399,1000,,
TIDE EXTRA POWER,4.90243E+12,code128,P&G,cat123,1111,1111,1111,725,725,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,725,1000,,
WHISPER ULTRA NIGHTS XL +,4.90243E+12,code128,P&G,cat123,1111,1111,1111,175,175,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,175,1000,,
WHISPER MAXI FIT REGULAR,4.90243E+12,code128,P&G,cat123,1111,1111,1111,80,80,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,80,1000,,
WHISPER MAXI FIT L WINGS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,143,143,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,143,1000,,
AMBIPUR AIR PURIFIER,4.90243E+12,code128,AMBIPUR,cat123,1111,1111,1111,279,279,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,279,999,,
TIDE EXTRA POWER,4.90243E+12,code128,P&G,cat123,1111,1111,1111,96,96,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,96,1000,,
GILLETTE MACH 3 BLADES 2 NOS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,260,260,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,260,1000,,
GILLETTE FUSION BLADE 2NOS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,550,550,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,550,1000,,
GILLETTE FUSION BLADE 8 NOS,4.90243E+12,code128,P&G,cat123,1111,1111,1111,1599,1599,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,1599,1000,,
GILLETTE REGULAR SHAVING FOAM,4.90243E+12,code128,P&G,cat123,1111,1111,1111,125,125,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,125,1000,,
ARIEL TOP LOAD,4.90243E+17,code128,P&G,cat123,1111,1111,1111,230,230,50,,Inclusive,,,smat variant|standerd pac,,,,,,,,,Mr Demo Supplier,,230,123,,
ARIEL FRONT LOAD,4.98718E+12,code128,P&G,cat123,1111,1111,1111,250,250,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,250,1000,,
ARIEL MATIC FRONT LOAD,4.98718E+12,code128,P&G,cat123,1111,1111,1111,1200,1200,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,1200,1000,,
ARIEL MATIC TOP LOAD,4.98718E+12,code128,P&G,cat123,1111,1111,1111,1100,1100,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,1100,1000,,
VENUS RAZOR GIRLS,4.98718E+12,code128,P&G,cat123,1111,1111,1111,70,70,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,70,1000,,
WHISPER ULTRA SOFT AIR FRESH,4.98718E+12,code128,P&G,cat123,1111,1111,1111,315,315,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,315,1000,,
ARIEL FRONT LOAD,498718E,code128,P&G,cat123,1111,1111,1111,250,250,50,,Inclusive,,,,,,,,,,,,Mr Demo Supplier,,250,,,
BASMATI RICE DUBAR,6.90225E+11,code128,INDIA GATE,cat123,1111,1111,1111,115,115,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,115,0,,
BASMATI RICE DUBAR,6.90225E+11,code128,INDIA GATE,cat123,1111,1111,1111,115,115,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,115,1000,,
BASMATI RICE,6.90225E+11,code128,INDIA GATE,cat123,1111,1111,1111,89,89,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,89,1000,,
RICE,6.90225E+11,code128,INDIA GATE,cat123,1111,1111,1111,440,440,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,440,1000,,
BASMATI RICE MOGRA,6.90225E+11,code128,INDIA GATE,cat123,1111,1111,1111,342,342,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,342,1000,,
BOURNVITA POUCH,7.6222E+12,code128,CADBURY,cat123,1111,1111,1111,302,302,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,302,0,,
demo product,7011583846,code128,ABBOTT,C1,1111,1111,1111,23423,23423,30,,Inclusive,6577689ff60069c327a2bb71397d141c.png,,,,,,,,,0,,Mr Demo Supplier,,0,76,,
BOURNVITA POUCH,7.6222E+12,code128,CADBURY,cat123,1111,1111,1111,302,302,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,302,1000,,
BOURNVITA BOTTLE,7.6222E+12,code128,CADBURY,cat123,1111,1111,1111,110,110,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,110,1000,,
BOURNVITA POUCH,7.6222E+12,code128,CADBURY,cat123,1111,1111,1111,209,209,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,209,1000,,
BOURNVITA BOTTLE,7.6222E+12,code128,CADBURY,cat123,1111,1111,1111,223,223,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,223,1000,,
BOURNVITA BOTTLE,7.6222E+12,code128,CADBURY,cat123,1111,1111,1111,410,410,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,410,1000,,
GREEN TEA TULSI GINGER,8.01541E+11,code128,ORGANIC INDIA,cat123,1111,1111,1111,148,148,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,148,0,,
GREEN TEA POMEGRANATE,8.01542E+11,code128,ORGANIC INDIA,cat123,1111,1111,1111,174,174,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,174,0,,
SUGAR,8.08042E+11,code128,GREENS,cat123,1111,1111,1111,60,60,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,60,0,,
JOHNSONS BABY POWDER,8.90101E+12,code128,JHONSON & JHONSON,cat123,1111,1111,1111,75,75,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,75,0,,
CINTHOL BATH SOAP COOL,8.90102E+12,code128,GODREJ,cat123,1111,1111,1111,99,99,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,99,0,,
RED LABEL TEA,8.90103E+12,code128,BROOKE BOND,cat123,1111,1111,1111,410,410,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,410,0,,
SAMBHAR POWDER,8.90104E+12,code128,MTR,cat123,1111,1111,1111,110,110,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,110,0,,
TATA GOLD TEA,8.90105E+12,code128,TATA,cat123,1111,1111,1111,130,130,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,130,0,,
MAGGI RICH TOMATO SAUCE,8.90106E+12,code128,NESTLE,cat123,1111,1111,1111,99,99,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,99,0,,
REVIVE INSTANT STARCH,8.90109E+12,code128,MARICO LIMITED,cat123,1111,1111,1111,65,65,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,65,0,,
EVERYUTH WALNUT SCRUB,8.90112E+12,code128,ZYDUS WELNESS,cat123,1111,1111,1111,70,70,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,70,0,,
CORNFLAKES,8.90113E+12,code128,MOHUN'S,cat123,1111,1111,1111,300,300,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,300,0,,
HIMALAYA GENTLE BABY SHAMPOO,8.90114E+12,code128,HIMALAYA,cat123,1111,1111,1111,85,85,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,85,0,,
GOODNIGHT ACTIVE COIL,8.90116E+12,code128,GODREJ,cat123,1111,1111,1111,34,34,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,34,0,,
DERMI COOL POWDER + Dettol SOAP,8.90118E+12,code128,RECKITT BENCKISER,cat123,1111,1111,1111,112,112,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,112,0,,
CHAWANPRASH SUGARFREE,8.90121E+12,code128,DABUR,cat123,1111,1111,1111,210,210,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,210,0,,
KAMASUTRA LONGLAST CONDOMS,8.90122E+12,code128,KAMASUTRA,cat123,1111,1111,1111,130,130,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,130,0,,
5 STAR CHOCLATE,8.90123E+12,code128,DABUR,cat123,1111,1111,1111,10,10,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,10,0,,
VERMICELLI,8.90124E+12,code128,BAMBINO,cat123,1111,1111,1111,45,45,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,45,0,,
OLIVE OIL,8.90125E+12,code128,DEL MONTE,cat123,1111,1111,1111,850,850,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,850,0,,
AA BATTERY,8.90126E+12,code128,PANASONIC,cat123,1111,1111,1111,10,10,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,10,0,,
BEER SHAMPOO DAMAGE FREE,8.90128E+12,code128,PARK AVENUE,cat123,1111,1111,1111,155,155,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,155,0,,
PALMOLIVE LIQUID HAND WASH,8.90131E+12,code128,COLGATE -PALMOLIVE,cat123,1111,1111,1111,99,99,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,99,0,,
SCOTCH BRITE,8.90136E+12,code128,SCOTCH BRITE,cat123,1111,1111,1111,35,35,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,35,0,,
DANVER PRIDE DEO,8.90145E+12,code128,VANESA CARE,cat123,1111,1111,1111,210,210,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,210,0,,
DORITOS,8.90149E+12,code128,LAYS,cat123,1111,1111,1111,20,20,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,20,0,,
VANISH POWDER,8.9014E+12,code128,VANISH,cat123,1111,1111,1111,105,105,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,105,0,,
REFINED SUNFLOWER OIL PACK OF 2,8.90151E+12,code128,SUNDROP,cat123,1111,1111,1111,350,350,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,350,0,,
BESAN,8.90152E+12,code128,AHAR,cat123,1111,1111,1111,65,65,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,65,0,,
L'OREAL TOTAL REPAIR SHAMPOO,8.90153E+12,code128,L'OREL,cat123,1111,1111,1111,135,135,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,135,0,,
ROZANA BASMATI RICE,8.90154E+12,code128,DAWAT,cat123,1111,1111,1111,99,99,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,99,0,,
EVERYUTH TUSLI TURMERIC FACE WASH,8.90155E+12,code128,ZYDUS WELNESS,cat123,1111,1111,1111,50,50,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,50,0,,
BOOST,8.90157E+12,code128,GSK,cat123,1111,1111,1111,247,247,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,247,0,,
CHOCOS,8.9015E+12,code128,KELLOGG'S,cat123,1111,1111,1111,125,125,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,125,0,,
DHAMPUR GREEN SUGAR,8.90161E+12,code128,DHAMPUR,cat123,1111,1111,1111,80,80,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,80,0,,
VEG HAKKA NOODLES,8.9016E+12,code128,CHINGS,cat123,1111,1111,1111,30,30,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,30,0,,
MONACO,8.90172E+12,code128,PARLE,cat123,1111,1111,1111,5,5,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,5,0,,
ATTA MULTIGRAIN 5KGS,8.90173E+12,code128,ASHIRVAD,cat123,1111,1111,1111,295,295,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,295,0,,
COKE 1.25L,8.90176E+12,code128,COCA COLA,cat123,1111,1111,1111,65,65,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,65,0,,
SABJI MASALA,8.90179E+12,code128,EVEREST,cat123,1111,1111,1111,29,29,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,29,0,,
PEPSI,8.90208E+12,code128,LEHAR PEPSI,cat123,1111,1111,1111,15,15,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,15,0,,
JAL JEERA,8.90217E+12,code128,MDH,cat123,1111,1111,1111,52,52,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,52,0,,
HING,8.90219E+12,code128,RAMDEV,cat123,1111,1111,1111,25,25,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,25,0,,
PRIL GREASE FIGHTER,8.9021E+12,code128,PRIL,cat123,1111,1111,1111,395,395,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,395,0,,
DHAMPUR SUGAR,8.9022E+12,code128,DHAMPUR,cat123,1111,1111,1111,65,65,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,65,0,,
ANNE FRENCH HAIR REMOVER ROSE,8.90239E+12,code128,PFIZER,cat123,1111,1111,1111,65,65,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,65,0,,
APPY FIZZ,8.90258E+12,code128,PARLE AGRO,cat123,1111,1111,1111,33,33,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,33,0,,
WHITE OATS,8.90271E+12,code128,BAGRRY'S,cat123,1111,1111,1111,99,99,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,99,0,,
MAMY POKO PANTS NEW BORN,8.90362E+12,code128,UNICHARM INDIA,cat123,1111,1111,1111,199,199,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,199,0,,
WILD STONE ULTRA SENSUAL DEO,8.90401E+12,code128,WILD STONE,cat123,1111,1111,1111,199,199,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,199,0,,
MEDIMIX BATH SOAP,8.90402E+12,code128,SAUNDARYA PRASARAK,cat123,1111,1111,1111,74,74,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,74,0,,
SALT,8.90404E+12,code128,TATA,cat123,1111,1111,1111,20,20,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,20,0,,
ALL-IN-ONE,8.90406E+12,code128,HALDIRAM,cat123,1111,1111,1111,46,46,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,46,0,,
SAUNDARYA FACE WASH,8.90411E+12,code128,PATANJALI,cat123,1111,1111,1111,90,90,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,90,0,,
FLAVOURED MILK ELAICHI,8.90412E+12,code128,ANANDA,cat123,1111,1111,1111,30,30,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,30,0,,
PEDIASURE VANILLA DELIGHT HEALTH FOOD,8.90415E+12,code128,ABBOTT,cat123,1111,1111,1111,315,315,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,315,0,,
BAYGON MOSQUITO KILLER,8.90427E+12,code128,BAYGON,cat123,1111,1111,1111,266,266,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,266,0,,
TOPS SNACKS SAUCE,8.90429E+12,code128,TOPS,cat123,1111,1111,1111,105,105,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,105,0,,
VANASPATI GHEE,8.90601E+12,code128,RATH,cat123,1111,1111,1111,130,130,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,130,0,,
MINERAL WATER,8.90602E+12,code128,BISLERI,cat123,1111,1111,1111,6,6,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,6,0,,
TOOTHPASTE,8.90603E+12,code128,PATANJALI,cat123,1111,1111,1111,85,85,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,85,0,,
PROTINEX ORIGINAL HEALTH FOOD,8.90605E+12,code128,PROTINEX,cat123,1111,1111,1111,595,595,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,595,0,,
THOUSAND ISLAND,8.90607E+12,code128,VEEBA,cat123,1111,1111,1111,99,99,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,99,0,,
ALUMINIUM FOIL BLUE,8.90608E+12,code128,PARAMOUNT,cat123,1111,1111,1111,80,80,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,80,0,,
COCO POWDER,8.90611E+12,code128,POSTER,cat123,1111,1111,1111,100,100,0,,Inclusive,,,,,,,,,,0,,Mr Demo Supplier,,100,0,,
